SpeciesA,SpeciesB,AColonies,BColonies,Afraction,Bfraction,DilutionFactor,Startingfraction,Error
4,3,5,0,1.0,0.0,1000000,0.4,0.123717915
4,3,14,0,1.0,0.0,1000000,0.1,0.058708527
4,3,5,66,0.070422535,0.929577465,10,0.732,0.031928191
4,3,19,19,0.5,0.5,100,0.732,0.078086881
4,3,38,7,0.844444444,0.155555556,1000,0.732,0.054244888
4,3,12,58,0.171428571,0.828571429,10000,0.732,0.04501982
4,3,20,0,1.0,0.0,100000,0.732,0.043433322
4,3,17,0,1.0,0.0,1000000,0.732,0.0499307
3,5,0,81,0.0,1.0,10,0.1,0.011904
3,5,0,79,0.0,1.0,10,0.9,0.012194
3,5,0,59,0.0,1.0,100,0.1,0.016127
3,5,0,66,0.0,1.0,100,0.9,0.014491
3,5,0,39,0.0,1.0,1000,0.1,0.023802
3,5,77,1,0.98718,0.012821,1000,0.9,0.017347
3,5,0,30,0.0,1.0,10000,0.1,0.030288
3,5,40,0,1.0,0.0,10000,0.9,0.023249
3,5,21,0,1.0,0.0,100000,0.1,0.041627
3,5,8,0,1.0,0.0,100000,0.9,0.090453
3,5,1,0,1.0,0.0,1000000,0.1,0.2357
3,5,4,0,1.0,0.0,1000000,0.9,0.14086
3,5,0,29,0.0,1.0,10,0.94,0.031233737
3,5,0,37,0.0,1.0,10,0.84,0.02499178
3,5,0,32,0.0,1.0,10,0.68,0.028559068
3,5,0,46,0.0,1.0,10,0.42,0.020403734
3,5,89,18,0.831775701,0.168224299,100,0.94,0.036172224
3,5,0,20,0.0,1.0,100,0.84,0.043433322
3,5,0,20,0.0,1.0,100,0.68,0.043433322
3,5,0,24,0.0,1.0,100,0.42,0.037009633
3,5,55,0,1.0,0.0,1000,0.94,0.017238726
3,5,0,19,0.0,1.0,1000,0.84,0.04540298
3,5,0,17,0.0,1.0,1000,0.68,0.0499307
3,5,0,19,0.0,1.0,1000,0.42,0.04540298
3,5,38,0,1.0,0.0,10000,0.94,0.024382621
3,5,16,0,1.0,0.0,10000,0.84,0.052550295
3,5,42,0,1.0,0.0,10000,0.68,0.022216482
3,5,10,0,1.0,0.0,10000,0.42,0.076655518
3,5,7,0,1.0,0.0,100000,0.94,0.099380799
3,5,13,0,1.0,0.0,100000,0.84,0.062360956
3,5,9,0,1.0,0.0,100000,0.68,0.082988266
3,5,9,0,1.0,0.0,100000,0.42,0.082988266
3,5,3,0,1.0,0.0,1000000,0.84,0.163299316
3,5,0,30,0.0,1.0,10,0.9,0.03028823
3,5,32,6,0.842105263,0.157894737,100,0.9,0.059340892
3,5,119,1,0.991666667,0.008333333,1000,0.9,0.011449677
3,5,55,0,1.0,0.0,10000,0.9,0.017238726
3,5,28,0,1.0,0.0,100000,0.9,0.032240138
3,5,22,0,1.0,0.0,1000000,0.9,0.039965263
3,5,0,56,0.0,1.0,10,0.1,0.016946633
3,5,0,52,0.0,1.0,100,0.1,0.0181787
3,5,0,34,0.0,1.0,1000,0.1,0.027016598
3,5,106,3,0.972477064,0.027522936,10000,0.1,0.017611238
3,5,20,0,1.0,0.0,100000,0.1,0.043433322
3,5,34,0,1.0,0.0,1000000,0.1,0.027016598
4,5,0,74,0.0,1.0,10,0.1,0.012986
4,5,0,77,0.0,1.0,10,0.9,0.012499
4,5,0,65,0.0,1.0,100,0.1,0.014704
4,5,2,89,0.021978,0.97802,100,0.9,0.018224
